ID,UserID,Email,Username,HasBio,DoB,TweetID,LikeID,RetweetID,Date,Time,Table
20,47,,,,,20,,,2023-12-29,12:01:00,Tweet
21,29,,,,,21,,,2023-12-30,9:40:00,Tweet
22,36,,,,,22,,,2023-12-31,13:32:00,Tweet
23,32,,,,,23,,,2024-01-01,2:18:00,Tweet
24,30,,,,,24,,,2024-01-02,15:57:00,Tweet
25,36,,,,,25,,,2024-01-03,21:53:00,Tweet
26,33,,,,,26,,,2024-01-04,15:54:00,Tweet
27,46,,,,,27,,,2024-01-05,17:06:00,Tweet
28,1,,,,,28,,,2024-01-06,1:51:00,Tweet
29,21,,,,,29,,,2024-01-07,2:58:00,Tweet
30,43,,,,,30,,,2024-01-08,13:23:00,Tweet
31,9,,,,,31,,,2024-01-09,20:05:00,Tweet
32,12,,,,,32,,,2024-01-10,1:26:00,Tweet
33,50,,,,,33,,,2024-01-11,0:15:00,Tweet
34,1,,,,,34,,,2024-01-12,3:37:00,Tweet
35,24,,,,,35,,,2024-01-13,15:54:00,Tweet
36,38,,,,,36,,,2024-01-14,1:09:00,Tweet
37,43,,,,,37,,,2024-01-15,21:48:00,Tweet
38,19,,,,,38,,,2024-01-16,23:13:00,Tweet
39,20,,,,,39,,,2024-01-17,18:02:00,Tweet
40,19,,,,,40,,,2024-01-18,23:58:00,Tweet
41,25,,,,,41,,,2024-01-19,6:21:00,Tweet
42,42,,,,,42,,,2024-01-20,19:31:00,Tweet
43,25,,,,,43,,,2024-01-21,22:23:00,Tweet
44,48,,,,,44,,,2024-01-22,8:39:00,Tweet
45,49,,,,,45,,,2024-01-23,21:55:00,Tweet
46,9,,,,,46,,,2024-01-24,22:02:00,Tweet
47,36,,,,,47,,,2024-01-25,12:05:00,Tweet
48,5,,,,,48,,,2024-01-26,1:45:00,Tweet
49,27,,,,,49,,,2024-01-27,15:26:00,Tweet
50,32,,,,,50,,,2024-01-28,16:38:00,Tweet
51,34,,,,,51,,,2024-01-29,8:40:00,Tweet
52,43,,,,,52,,,2024-01-30,12:41:00,Tweet
53,26,,,,,53,,,2024-01-31,1:03:00,Tweet
1,40,,,,,12,1,,2024-02-01,7:12:00,Like
2,14,,,,,1,2,,2024-02-02,20:22:00,Like
3,10,,,,,20,3,,2024-02-03,4:36:00,Like
4,45,,,,,22,4,,2024-02-04,18:59:00,Like
5,9,,,,,50,5,,2024-02-05,18:42:00,Like
6,17,,,,,33,6,,2024-02-06,11:19:00,Like
7,19,,,,,9,7,,2024-02-07,1:10:00,Like
8,21,,,,,48,8,,2024-02-08,12:08:00,Like
9,26,,,,,12,9,,2024-02-09,8:34:00,Like
10,43,,,,,50,10,,2024-02-10,2:26:00,Like
11,29,,,,,26,11,,2024-02-11,22:56:00,Like
12,13,,,,,12,12,,2024-02-12,14:17:00,Like
13,44,,,,,3,13,,2024-02-13,17:31:00,Like
14,3,,,,,28,14,,2024-02-14,0:37:00,Like
15,23,,,,,32,15,,2024-02-15,0:13:00,Like
16,4,,,,,40,16,,2024-02-16,10:47:00,Like
17,20,,,,,37,17,,2024-02-17,9:59:00,Like
18,41,,,,,3,18,,2024-02-18,9:01:00,Like
19,24,,,,,16,19,,2024-02-19,18:05:00,Like
20,18,,,,,4,20,,2024-02-20,20:10:00,Like
21,45,,,,,42,21,,2024-02-21,9:18:00,Like
22,7,,,,,4,22,,2024-02-22,18:33:00,Like
23,50,,,,,16,23,,2024-02-23,13:23:00,Like
24,47,,,,,45,24,,2024-02-24,5:03:00,Like
25,2,,,,,9,25,,2024-02-25,3:06:00,Like
26,36,,,,,1,26,,2024-02-26,21:14:00,Like
27,39,,,,,31,27,,2024-02-27,18:44:00,Like
28,14,,,,,9,28,,2024-02-28,17:05:00,Like
29,25,,,,,43,29,,2024-02-29,5:06:00,Like
30,47,,,,,34,30,,2024-03-01,8:10:00,Like
31,35,,,,,35,31,,2024-03-02,21:41:00,Like
32,9,,,,,28,32,,2024-03-03,19:53:00,Like
33,43,,,,,40,33,,2024-03-04,22:16:00,Like
34,39,,,,,21,34,,2024-03-05,19:23:00,Like
35,1,,,,,14,35,,2024-03-06,11:49:00,Like
36,22,,,,,43,36,,2024-03-07,9:40:00,Like
37,32,,,,,33,37,,2024-03-08,9:46:00,Like
38,48,,,,,8,38,,2024-03-09,20:27:00,Like
39,4,,,,,25,39,,2024-03-10,19:12:00,Like
40,45,,,,,14,40,,2024-03-11,22:03:00,Like
41,15,,,,,6,41,,2024-03-12,21:33:00,Like
42,39,,,,,31,42,,2024-03-13,14:00:00,Like
43,34,,,,,35,43,,2024-03-14,18:16:00,Like
44,46,,,,,28,44,,2024-03-15,17:19:00,Like
45,11,,,,,18,45,,2024-03-16,9:23:00,Like
46,41,,,,,4,46,,2024-03-17,10:05:00,Like
47,33,,,,,48,47,,2024-03-18,23:08:00,Like
48,16,,,,,43,48,,2024-03-19,19:26:00,Like
49,26,,,,,42,49,,2024-03-20,12:52:00,Like
50,19,,,,,39,50,,2024-03-21,8:35:00,Like
51,8,,,,,43,51,,2024-03-22,14:13:00,Like
52,19,,,,,23,52,,2024-03-23,17:19:00,Like
53,20,,,,,26,53,,2024-03-24,7:54:00,Like
54,9,,,,,52,54,,2024-03-25,15:09:00,Like
55,46,,,,,44,55,,2024-03-26,18:31:00,Like
56,27,,,,,37,56,,2024-03-27,23:15:00,Like
57,33,,,,,16,57,,2024-03-28,8:44:00,Like
58,25,,,,,3,58,,2024-03-29,15:17:00,Like
59,2,,,,,7,59,,2024-03-30,18:14:00,Like
1,50,,,,,48,,1,2024-03-31,18:29:00,Retweet
2,47,,,,,8,,2,2024-04-01,1:22:00,Retweet
3,19,,,,,18,,3,2024-04-02,21:22:00,Retweet
4,4,,,,,24,,4,2024-04-03,18:37:00,Retweet
5,19,,,,,45,,5,2024-04-04,16:21:00,Retweet
6,15,,,,,52,,6,2024-04-05,21:22:00,Retweet
7,9,,,,,21,,7,2024-04-06,1:51:00,Retweet
8,4,,,,,28,,8,2024-04-07,0:25:00,Retweet
9,19,,,,,35,,9,2024-04-08,8:20:00,Retweet
10,20,,,,,43,,10,2024-04-09,4:15:00,Retweet
11,47,,,,,44,,11,2024-04-10,8:39:00,Retweet
12,33,,,,,53,,12,2024-04-11,22:36:00,Retweet
13,8,,,,,30,,13,2024-04-12,8:29:00,Retweet
14,15,,,,,23,,14,2024-04-13,21:00:00,Retweet
15,23,,,,,34,,15,2024-04-14,20:54:00,Retweet
16,6,,,,,53,,16,2024-04-15,17:17:00,Retweet
17,42,,,,,18,,17,2024-04-16,21:20:00,Retweet
18,43,,,,,8,,18,2024-04-17,20:35:00,Retweet
19,22,,,,,7,,19,2024-04-18,2:05:00,Retweet
20,40,,,,,30,,20,2024-04-19,0:03:00,Retweet
21,40,,,,,40,,21,2024-04-20,2:28:00,Retweet
22,27,,,,,41,,22,2024-04-21,15:40:00,Retweet
23,20,,,,,17,,23,2024-04-22,17:48:00,Retweet
24,26,,,,,39,,24,2024-04-23,13:26:00,Retweet
25,31,,,,,20,,25,2024-04-24,9:14:00,Retweet
26,16,,,,,20,,26,2024-04-25,16:55:00,Retweet
27,18,,,,,47,,27,2024-04-26,14:38:00,Retweet
28,16,,,,,53,,28,2024-04-27,8:01:00,Retweet
29,40,,,,,31,,29,2024-04-28,9:27:00,Retweet
30,27,,,,,3,,30,2024-04-29,8:58:00,Retweet
31,50,,,,,42,,31,2024-04-30,4:18:00,Retweet
32,28,,,,,28,,32,2024-05-01,23:23:00,Retweet
33,2,,,,,18,,33,2024-05-02,4:44:00,Retweet
34,29,,,,,28,,34,2024-05-03,19:24:00,Retweet
35,3,,,,,8,,35,2024-05-04,0:42:00,Retweet
36,32,,,,,53,,36,2024-05-05,17:58:00,Retweet
37,46,,,,,29,,37,2024-05-06,1:34:00,Retweet
38,2,,,,,13,,38,2024-05-07,19:03:00,Retweet
39,44,,,,,51,,39,2024-05-08,10:59:00,Retweet
40,14,,,,,44,,40,2024-05-09,11:00:00,Retweet
41,16,,,,,52,,41,2024-05-10,17:33:00,Retweet
42,40,,,,,38,,42,2024-05-11,11:13:00,Retweet
43,25,,,,,16,,43,2024-05-12,23:19:00,Retweet
44,48,,,,,31,,44,2024-05-13,5:33:00,Retweet
45,31,,,,,42,,45,2024-05-14,11:50:00,Retweet
46,2,,,,,50,,46,2024-05-15,21:34:00,Retweet
47,9,,,,,12,,47,2024-05-16,16:32:00,Retweet
48,25,,,,,3,,48,2024-05-17,17:02:00,Retweet
49,31,,,,,5,,49,2024-05-18,14:31:00,Retweet
50,47,,,,,47,,50,2024-02-17,10:44:00,Retweet
51,3,,,,,19,,51,2024-02-12,8:42:00,Retweet
